review_id,text_length,word_count,sentence_count,char_count,avg_word_length,punct_count,upper_count,digit_count,stopword_ratio,exclamation_count,question_count,positive_word_count,negative_word_count,neutral_word_count,num_aspects,num_unique_aspects,aspect_diversity,aspect_Chất lượng sản phẩm_count,aspect_Dịch vụ_count,aspect_Khác_count,aspect_Giá cả_count,positive_aspects,negative_aspects,sentiment_ratio,sentiment_balance,first_aspect_position,last_aspect_position,aspect_span_coverage,num_dates_mentioned,mentions_delivery_time,mentions_price,mentions_quantity,num_numbers,max_number,min_number,brand_mentions,adj_count,verb_count,noun_count,avg_sentence_length,sentence_length_std,complex_sentence_ratio,max_word_freq,repeated_words_count,repetition_ratio
291,56.0,12.0,0.0,45.0,3.75,2.0,1.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.3333333333333333,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.9464285714285714,0.9464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0
292,71.0,13.0,3.0,59.0,4.538461538461538,3.0,3.0,0.0,0.3076923076923077,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.6666666666666666,2.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.7887323943661971,0.7887323943661971,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.333333333333333,2.0548046676563256,0.0,1.0,0.0,0.0
293,33.0,7.0,1.0,27.0,3.857142857142857,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.9696969696969697,0.9696969696969697,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.5,1.5,0.0,1.0,0.0,0.0
294,58.0,13.0,1.0,46.0,3.5384615384615383,1.0,0.0,0.0,0.46153846153846156,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6379310344827587,0.7758620689655172,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,2.0,1.0,0.15384615384615385
295,33.0,7.0,0.0,27.0,3.857142857142857,1.0,1.0,0.0,0.14285714285714285,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.8787878787878788,0.8787878787878788,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0
296,45.0,10.0,1.0,36.0,3.6,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444444444444444,0.8444444444444444,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,2.0,1.0,0.2
297,106.0,21.0,1.0,86.0,4.095238095238095,4.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.6320754716981132,0.6320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.5,2.0,1.0,0.09523809523809523
298,52.0,11.0,2.0,42.0,3.8181818181818183,3.0,8.0,0.0,0.18181818181818182,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.6666666666666666,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.9038461538461539,0.9038461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.6666666666666665,0.9428090415820634,0.0,1.0,0.0,0.0
299,32.0,7.0,1.0,26.0,3.7142857142857144,1.0,0.0,0.0,0.42857142857142855,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.8125,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.5,0.5,0.0,2.0,1.0,0.2857142857142857
300,41.0,9.0,1.0,33.0,3.6666666666666665,2.0,1.0,0.0,0.2222222222222222,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.8048780487804879,0.8048780487804879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0
